treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
unemployed,little_concern_for_others,0,0.0711421455532664,-0.0317389302322936,0.174023221338826,-0.0151983749794411,0.157482666085974
unemployed,little_concern_for_others,1,-0.111090261124906,-0.207824071593105,-0.0143564506567069,-0.192271833976507,-0.0299086882733044
unemployed,little_concern_for_others,2,0.0337877742299,-0.0769103170307675,0.144485865490568,-0.0591129924897718,0.126688540949572
unemployed,comfy_around_people,0,-0.0229394414347577,-0.101857207311397,0.055978324441881,-0.0891693183391329,0.0432904354696175
unemployed,comfy_around_people,1,0.217005751119224,0.129775292444078,0.304236209794369,0.143799642504874,0.290211859733574
unemployed,comfy_around_people,2,0.0346040644613313,-0.0425242879038342,0.111732416826497,-0.030124089285027,0.0993322182076897
unemployed,insult_people,0,-0.0167525184797362,-0.0953924450991286,0.0618874081396561,-0.0827492253291532,0.0492441883696807
unemployed,insult_people,1,-0.108826703253698,-0.198947150996826,-0.0187062555105699,-0.18445816714897,-0.0331952393584258
unemployed,insult_people,2,-0.109393045140482,-0.186063077623065,-0.0327230126578999,-0.173736564716459,-0.0450495255645053
unemployed,sympathisze_w_others_feelings,0,-0.136645149059954,-0.227141884717419,-0.0461484134024883,-0.212592403727688,-0.0606978943922194
unemployed,sympathisze_w_others_feelings,1,-0.0463696889658551,-0.126981631838894,0.0342422539071839,-0.114021364025302,0.0212819860935921
unemployed,sympathisze_w_others_feelings,2,0.0396492470457388,-0.0260787560983757,0.105377250189853,-0.0155114320364564,0.0948099261279341
unemployed,not_interested_in_others_problems,0,-0.00486196127017002,-0.0978534577945675,0.0881295352542275,-0.0829028852566866,0.0731789627163466
unemployed,not_interested_in_others_problems,1,0.10552011342075,-0.0144663663865382,0.225506593228037,0.00482428530711637,0.206215941534383
unemployed,not_interested_in_others_problems,2,-0.0375144043218118,-0.144363813824017,0.0693350051803938,-0.12718525549236,0.0521564468487365
unemployed,talk_to_different_people_parties,0,0.016892595530963,-0.0672963387325332,0.101081529794459,-0.0537609853331709,0.087546176395097
unemployed,talk_to_different_people_parties,1,0.0522768493960526,-0.0290798748412632,0.133633573633368,-0.0159998658875925,0.120553564679698
unemployed,talk_to_different_people_parties,2,0.0121572633711595,-0.0707164030097471,0.0950309297520662,-0.0573925098903067,0.0817070366326258
unemployed,not_interested_in_others,0,-0.0654955691017877,-0.159265395476398,0.0282742572728227,-0.14418968808943,0.0131985498858543
unemployed,not_interested_in_others,1,-0.0957158226153,-0.196088698763554,0.00465705353295425,-0.179951395657603,-0.011480249572997
unemployed,not_interested_in_others,2,-0.0975640835639105,-0.197276489346913,0.00214832221909192,-0.181245372402857,-0.0138827947249641
unemployed,feel_others_emotions,0,-0.07844874360285,-0.150516482896496,-0.00638100430920427,-0.138929896980352,-0.0179675902253483
unemployed,feel_others_emotions,1,-0.0497647097307874,-0.110681434917458,0.0111520154558832,-0.100887637068054,0.00135821760647946
unemployed,feel_others_emotions,2,0.0122540655722142,-0.0504763823564245,0.0749845135008529,-0.040390985872405,0.0648991170168334
unemployed,quiet_around_strangers,0,-0.154953534620876,-0.247847042477466,-0.0620600267642867,-0.232912223925064,-0.0769948453166882
unemployed,quiet_around_strangers,1,-0.0639366049137324,-0.167716826355688,0.0398436165282235,-0.151031712268313,0.0231585024408485
unemployed,quiet_around_strangers,2,-0.0940188015461262,-0.193039393081542,0.00500178998928967,-0.177119501566454,-0.0109181015257986
unemployed,importance_open_minded,0,0.0155030648168968,-0.143394832088022,0.174400961721815,-0.117848253932131,0.148854383565925
unemployed,importance_open_minded,1,-0.0110568217210079,-0.134719438198888,0.112605794756873,-0.11483776098132,0.0927241175393043
unemployed,importance_open_minded,2,0.132228108167527,-0.00086897700366162,0.265325193338716,0.020529513189582,0.243926703145472
unemployed,feel_connected_to_others,0,0.0225375098272345,-0.0788358669103474,0.123910886564817,-0.0625377097780174,0.107612729432487
unemployed,feel_connected_to_others,1,0.0493077441567044,-0.0379573127549629,0.136572801068372,-0.0239274002130361,0.122542888526445
unemployed,feel_connected_to_others,2,-0.0289839013479824,-0.125442496948254,0.067474694252289,-0.109934506601571,0.0519667039056058
income_cat_decrease,little_concern_for_others,0,-0.0591459366460878,-0.110524248426505,-0.00776762486567106,-0.102263975112746,-0.0160278981794299
income_cat_decrease,little_concern_for_others,1,-0.0535075041379553,-0.109051554159835,0.00203654588392421,-0.100121540342045,-0.0068934679338653
income_cat_decrease,little_concern_for_others,2,-0.00732171195276294,-0.0609887617580759,0.04634533785255,-0.0523605199188031,0.0377170960132772
income_cat_decrease,comfy_around_people,0,0.00408242601652152,-0.0268707973160454,0.0350356493490885,-0.0218943378760862,0.0300591899091293
income_cat_decrease,comfy_around_people,1,-0.0445856471610858,-0.0758852552656111,-0.0132860390565605,-0.0708531063179793,-0.0183181880041923
income_cat_decrease,comfy_around_people,2,0.0155265291858694,-0.0152247546629236,0.0462778130346624,-0.0102807617496175,0.0413338201213564
income_cat_decrease,insult_people,0,-0.0390440642170249,-0.0734574968462105,-0.00463063158783923,-0.0679247272916832,-0.0101634011423665
income_cat_decrease,insult_people,1,0.0167538990940099,-0.0211456677155005,0.0546534659035202,-0.0150524200109516,0.0485602181989714
income_cat_decrease,insult_people,2,-0.0707378869132904,-0.103565131056406,-0.0379106427701748,-0.0982873786475972,-0.0431883951789836
income_cat_decrease,sympathisze_w_others_feelings,0,0.0116430118720412,-0.0196519403591248,0.0429379641032073,-0.0146205399527574,0.0379065636968399
income_cat_decrease,sympathisze_w_others_feelings,1,-0.0221597527891993,-0.056520410155268,0.0122009045768695,-0.0509961254668728,0.00667661988847428
income_cat_decrease,sympathisze_w_others_feelings,2,0.0607662221632615,0.0308225950640043,0.0907098492625187,0.035636738138659,0.085895706187864
income_cat_decrease,not_interested_in_others_problems,0,-0.0432144702588175,-0.0909630438900168,0.00453410337238188,-0.0832863364454141,-0.00314260407222088
income_cat_decrease,not_interested_in_others_problems,1,-0.0370241880873422,-0.0817799048297015,0.007731528655017,-0.0745843695963703,0.000535993421685851
income_cat_decrease,not_interested_in_others_problems,2,-0.00924161894948476,-0.0574011145505568,0.0389178766515873,-0.0496583417241976,0.0311751038252281
income_cat_decrease,talk_to_different_people_parties,0,-0.0453548888706482,-0.0834885497623496,-0.00722122797894682,-0.0773576659223766,-0.0133521118189198
income_cat_decrease,talk_to_different_people_parties,1,-0.0271903008972831,-0.0650788819594138,0.0106982801648477,-0.0589874004724141,0.00460679867784799
income_cat_decrease,talk_to_different_people_parties,2,-0.0159169060864426,-0.0533604763622657,0.0215266641893806,-0.0473405408368807,0.0155067286639956
income_cat_decrease,not_interested_in_others,0,-0.0459664253538744,-0.085403638670079,-0.00652921203766976,-0.0790631780859103,-0.0128696726218384
income_cat_decrease,not_interested_in_others,1,-0.0211253742247389,-0.0611009494203873,0.0188502009709094,-0.054673934488444,0.0124231860389661
income_cat_decrease,not_interested_in_others,2,0.00849050754525608,-0.0299355671267365,0.0469165822172487,-0.0237576708867408,0.0407386859772529
income_cat_decrease,feel_others_emotions,0,0.0102855821814423,-0.0199827547310283,0.0405539190939128,-0.0151164069086531,0.0356875712715377
income_cat_decrease,feel_others_emotions,1,0.0272372912789287,-0.00516097569266223,0.0596355582505197,4.78085356174045e-05,0.05442677402224
income_cat_decrease,feel_others_emotions,2,0.000447583346874761,-0.0318170839260511,0.0327122506198007,-0.0266297789949179,0.0275249456886674
income_cat_decrease,quiet_around_strangers,0,-0.0489440509774756,-0.089716860062955,-0.00817124189199613,-0.0831616710124626,-0.0147264309424885
